Reporting Area,MMWR Year,MMWR Week,"Spotted fever rickettsiosis, Confirmed, Current week","Spotted fever rickettsiosis, Confirmed, Current week, flag ","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†","Spotted fever rickettsiosis, Confirmed, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2019†","Spotted fever rickettsiosis, Confirmed, Cum 2019†, flag","Spotted fever rickettsiosis, Confirmed, Cum 2018†","Spotted fever rickettsiosis, Confirmed, Cum 2018†, flag","Spotted fever rickettsiosis, Probable, Current week","Spotted fever rickettsiosis, Probable, Current week, flag","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†","Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, flag","Spotted fever rickettsiosis, Probable,  Cum 2019†","Spotted fever rickettsiosis, Probable,  Cum 2019†, flag","Spotted fever rickettsiosis, Probable,  Cum 2018†","Spotted fever rickettsiosis, Probable, Cum 2018†, flag","Smallpox, Current week","Smallpox, Current week, flag ","Smallpox, Previous 52 weeks Max†","Smallpox, Previous 52 weeks Max†, flag","Smallpox, Confirmed, Cum 2019†","Smallpox, Cum 2019†, flag","Smallpox, Cum 2018†","Smallpox, Cum 2018†, flag",Location 1,Location 2
RHODE ISLAND,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEBRASKA,2019,3,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
EAST NORTH CENTRAL,2019,3,,-,2,,,-,,-,,-,24,,,-,6,,,-,0,,,-,,-,,EAST NORTH CENTRAL
FLORIDA,2019,3,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW ENGLAND,2019,3,,-,0,,,-,,-,,-,4,,,-,2,,,-,0,,,-,,-,,NEW ENGLAND
SOUTH DAKOTA,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2019,3,,-,3,,,-,,-,,-,47,,2,,1,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2019,3,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2019,3,,-,0,,,-,,-,1,,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GUAM,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KENTUCKY,2019,3,,-,1,,,-,,-,,-,5,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2019,3,,-,0,,,-,,-,2,,49,,3,,3,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MOUNTAIN,2019,3,,-,2,,,-,,-,,-,5,,,-,2,,,-,0,,,-,,-,,MOUNTAIN
U.S. VIRGIN ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2019,3,,-,3,,,-,,-,,-,6,,1,,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TOTAL,2019,3,,-,12,,,-,,-,3,,263,,13,,38,,,-,0,,,-,,-,,TOTAL
HAWAII,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEW YORK,2019,3,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
AMERICAN SAMOA,2019,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
ALABAMA,2019,3,,-,2,,,-,,-,,-,37,,2,,8,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WASHINGTON,2019,3,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IOWA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OREGON,2019,3,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
INDIANA,2019,3,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2019,4,,-,3,,,-,,-,,-,6,,1,,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
AMERICAN SAMOA,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
MASSACHUSETTS,2019,4,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW ENGLAND,2019,4,,-,0,,,-,,-,,-,4,,,-,4,,,-,0,,,-,,-,,NEW ENGLAND
ARKANSAS,2019,4,,-,0,,,-,,-,2,,49,,8,,4,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW YORK CITY,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
SOUTH DAKOTA,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
TOTAL,2019,4,,-,11,,,-,1,,5,,263,,30,,51,,,-,0,,,-,,-,,TOTAL
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
OKLAHOMA,2019,4,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
TEXAS,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2019,4,,-,2,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ALABAMA,2019,4,,-,2,,,-,,-,2,,37,,6,,9,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
WEST NORTH CENTRAL,2019,4,,-,3,,,-,,-,,-,62,,4,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
KENTUCKY,2019,4,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MICHIGAN,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2019,4,,-,3,,,-,,-,,-,3,,1,,2,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
INDIANA,2019,4,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
UTAH,2019,4,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2019,4,,-,1,,,-,,-,,-,10,,,-,4,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2019,4,,-,2,,,-,,-,,-,16,,1,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
EAST NORTH CENTRAL,2019,4,,-,2,,,-,,-,,-,24,,,-,7,,,-,0,,,-,,-,,EAST NORTH CENTRAL
NEBRASKA,2019,4,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
RHODE ISLAND,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PENNSYLVANIA,2019,4,,-,2,,,-,,-,,-,5,,1,,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2019,4,,-,1,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MISSOURI,2019,4,,-,3,,,-,,-,,-,47,,3,,2,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2019,4,,-,0,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
SOUTH ATLANTIC,2019,4,,-,6,,,-,,-,1,,64,,6,,11,,,-,0,,,-,,-,,SOUTH ATLANTIC
MONTANA,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MISSISSIPPI,2019,4,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2019,4,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VERMONT,2019,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2019,4,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2019,4,,-,2,,,-,,-,,-,28,,,-,6,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
OHIO,2019,4,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
WYOMING,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2019,4,,-,1,,,-,,-,,-,7,,,-,1,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
EAST SOUTH CENTRAL,2019,4,,-,2,,,-,,-,2,,81,,8,,15,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
WEST SOUTH CENTRAL,2019,4,,-,2,,,-,,-,2,,50,,9,,4,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
FLORIDA,2019,4,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DISTRICT OF COLUMBIA,2019,4,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MIDDDLE ATLANTIC,2019,4,,-,2,,,-,,-,,-,13,,2,,6,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
IOWA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
WASHINGTON,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2019,4,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
VIRGINIA,2019,4,,-,1,,,-,,-,1,,28,,3,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEW MEXICO,2019,4,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2019,4,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW JERSEY,2019,4,,-,1,,,-,,-,,-,9,,1,,5,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2019,4,,-,1,,,-,,-,,-,49,,2,,4,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
PUERTO RICO,2019,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2019,4,,-,0,,,-,,-,,-,6,,1,,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH DAKOTA,2019,4,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MOUNTAIN,2019,4,,-,2,,,-,1,,,-,5,,,-,2,,,-,0,,,-,,-,,MOUNTAIN
US RESIDENTS,2019,4,,-,11,,,-,1,,5,,263,,30,,51,,,-,0,,,-,,-,,US RESIDENTS
PACIFIC,2019,4,,-,1,,,-,,-,,-,3,,1,,,-,,-,0,,,-,,-,,PACIFIC
COLORADO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2019,5,,-,1,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
TEXAS,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
DISTRICT OF COLUMBIA,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2019,5,,-,1,,,-,,-,,-,5,,,-,1,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2019,5,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEVADA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2019,5,,-,1,,,-,,-,,-,10,,1,,6,,,-,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
OHIO,2019,5,,-,1,,,-,,-,,-,5,,,-,3,,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
CONNECTICUT,2019,5,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OKLAHOMA,2019,5,,-,2,,,-,,-,,-,19,,,-,,-,,-,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW YORK CITY,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
SOUTH CAROLINA,2019,5,,-,1,,,-,,-,,-,5,,1,,3,,,-,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
LOUISIANA,2019,5,,-,0,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2019,5,,-,1,,,-,,-,2,,7,,2,,1,,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ALASKA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MOUNTAIN,2019,5,,-,2,,,-,1,,1,,5,,1,,2,,,-,0,,,-,,-,,MOUNTAIN
MIDDDLE ATLANTIC,2019,5,,-,2,,,-,,-,2,,13,,6,,6,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OREGON,2019,5,,-,1,,,-,,-,,-,2,,1,,,-,,-,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
FLORIDA,2019,5,,-,1,,,-,,-,,-,3,,,-,,-,,-,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2019,5,,-,2,,,-,,-,,-,28,,,-,6,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2019,5,,-,3,,,-,,-,,-,3,,1,,3,,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WEST SOUTH CENTRAL,2019,5,,-,2,,,-,,-,3,,50,,13,,6,,,-,0,,,-,,-,,WEST SOUTH CENTRAL
NORTH DAKOTA,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
EAST SOUTH CENTRAL,2019,5,,-,2,,,-,,-,,-,82,,8,,15,,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW ENGLAND,2019,5,,-,0,,,-,,-,,-,4,,,-,4,,,-,0,,,-,,-,,NEW ENGLAND
TOTAL,2019,5,,-,11,,,-,1,,7,,263,,44,,57,,,-,0,,,-,,-,,TOTAL
GUAM,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW HAMPSHIRE,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEBRASKA,2019,5,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2019,5,,-,1,,,-,,-,1,,1,,1,,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
SOUTH DAKOTA,2019,5,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW MEXICO,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
EAST NORTH CENTRAL,2019,5,,-,2,,,-,,-,,-,24,,1,,10,,,-,0,,,-,,-,,EAST NORTH CENTRAL
AMERICAN SAMOA,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
DELAWARE,2019,5,,-,0,,,-,,-,1,,6,,2,,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
PENNSYLVANIA,2019,5,,-,2,,,-,,-,,-,5,,2,,,-,,-,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
PACIFIC,2019,5,,-,1,,,-,,-,,-,3,,1,,,-,,-,0,,,-,,-,,PACIFIC
IOWA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSOURI,2019,5,,-,3,,,-,,-,,-,46,,4,,2,,,-,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
SOUTH ATLANTIC,2019,5,,-,6,,,-,,-,1,,64,,9,,12,,,-,0,,,-,,-,,SOUTH ATLANTIC
WEST NORTH CENTRAL,2019,5,,-,3,,,-,,-,,-,57,,5,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
VERMONT,2019,5,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PUERTO RICO,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
HAWAII,2019,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2019,5,,-,1,,,-,,-,,-,11,,,-,1,,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MARYLAND,2019,5,,-,3,,,-,,-,,-,6,,1,,,-,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TENNESSEE,2019,5,,-,1,,,-,,-,,-,49,,2,,4,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ARKANSAS,2019,5,,-,0,,,-,,-,3,,49,,12,,6,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2019,5,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
US RESIDENTS,2019,5,,-,11,,,-,1,,7,,263,,44,,57,,,-,0,,,-,,-,,US RESIDENTS
WYOMING,2019,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2019,5,,-,0,,,-,,-,,-,4,,,-,1,,,-,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2019,5,,-,2,,,-,,-,,-,37,,6,,9,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2019,5,,-,2,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2019,5,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2019,5,,-,1,,,-,,-,,-,1,,,-,1,,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
KANSAS,2019,5,,-,2,,,-,,-,,-,16,,1,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2019,5,,-,1,,,-,,-,,-,9,,2,,5,,,-,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
VIRGINIA,2019,5,,-,1,,,-,,-,,-,28,,4,,,-,,-,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2019,6,,-,3,,,-,,-,,-,6,,1,,1,,,-,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
MICHIGAN,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2019,6,,-,2,,,-,1,,,-,3,,,-,1,,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
DISTRICT OF COLUMBIA,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2019,6,,-,0,,,-,,-,3,,49,,16,,8,,,-,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
ALASKA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WEST NORTH CENTRAL,2019,6,,-,3,,,-,,-,,-,56,,7,,2,,,-,0,,,-,,-,,WEST NORTH CENTRAL
TENNESSEE,2019,6,,-,1,,,-,,-,,-,49,,3,,7,,,-,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
TEXAS,2019,6,,-,0,,,-,,-,,-,2,,,-,1,,,-,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2019,6,,-,1,,,-,,-,,-,6,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
KANSAS,2019,6,,-,2,,,-,,-,,-,16,,2,,,-,,-,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PACIFIC,2019,17,,-,0,,,-,1,,,-,3,,2,,6,,,-,0,,,-,,-,,PACIFIC
MONTANA,2019,6,,-,1,,,-,,-,,-,2,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
AMERICAN SAMOA,2019,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,0,,,-,,-,,AMERICAN SAMOA
NEW YORK CITY,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY
MIDDDLE ATLANTIC,2019,6,,-,2,,,-,,-,1,,13,,8,,7,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
WASHINGTON,2019,6,,-,0,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2019,6,,-,2,,,-,,-,,-,28,,,-,7,,,-,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
EAST NORTH CENTRAL,2019,6,,-,2,,,-,,-,,-,24,,1,,10,,,-,0,,,-,,-,,EAST NORTH CENTRAL
ALABAMA,2019,6,,-,2,,,-,,-,1,,37,,16,,17,,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
